,value
2020-11-15,184.6354680033793
2020-11-16,188.92774034940157
2020-11-17,196.28436429007127
2020-11-18,193.8811298863081
2020-11-19,196.24035509808425
2020-11-20,200.85371889643807
2020-11-21,207.11721296646922
2020-11-22,204.310965160563
2020-11-23,213.1452835028042
2020-11-24,217.57690741888683
2020-11-25,208.97229558203662
2020-11-26,196.44173122480925
2020-11-27,196.43969803158421
2020-11-28,201.6478646743164
2020-11-29,205.8584262080525
2020-11-30,212.03913121753172
2020-12-01,205.969982241462
2020-12-02,217.61015533402804
2020-12-03,220.63677601304084
2020-12-04,206.8465856453289
2020-12-05,215.70337552970904
2020-12-06,215.07442773102645
2020-12-07,216.51032022514647
2020-12-08,206.93897351223012
2020-12-09,210.63117218628946
2020-12-10,204.5529889675029
2020-12-11,199.21973090777453
2020-12-12,207.04932319413592
2020-12-13,212.11896181675473
2020-12-14,212.84671398274378
2020-12-15,213.40144850214057
2020-12-16,220.48917900971003
2020-12-17,217.440344306118
2020-12-18,223.53100495961166
2020-12-19,224.50825245484057
2020-12-20,219.99494057845146
2020-12-21,211.67688475002336
2020-12-22,214.07364245812246
2020-12-23,192.83851012223377
2020-12-24,204.71789738061028
2020-12-25,203.70785525465507
2020-12-26,200.73142572602802
2020-12-27,203.15737001280456
2020-12-28,209.03688185950696
2020-12-29,206.59010550255567
2020-12-30,205.18536220760834
2020-12-31,205.34088326008597
2021-01-01,207.07600198197125
2021-01-02,208.5001905482185
2021-01-03,222.3515765637846
2021-01-04,225.97478960030702
2021-01-05,237.27579930968784
2021-01-06,251.2401335502549
2021-01-07,266.51877765108947
2021-01-08,267.79904990435364
2021-01-09,277.56448444283046
2021-01-10,268.17476242845726
2021-01-11,244.76726112705808
2021-01-12,247.85425417935522
2021-01-13,269.329595912298
2021-01-14,273.7925665954019
2021-01-15,273.70947746313345
2021-01-16,287.45645133140044
2021-01-17,299.6611762467729
2021-01-18,309.10775439134085
2021-01-19,303.53990514726473
2021-01-20,308.00603054419594
2021-01-21,273.1668556876041
2021-01-22,295.553773918827
2021-01-23,303.3632718157826
2021-01-24,310.1493886716488
2021-01-25,303.50258467092306
2021-01-26,312.6427470970245
2021-01-27,292.13429101131896
2021-01-28,322.4910840787363
2021-01-29,325.88939272807187
2021-01-30,333.2784630131573
2021-01-31,335.8146418648494
2021-02-01,351.00568014132335
2021-02-02,363.04919622240834
2021-02-03,396.16611867494987
2021-02-04,410.2236026251346
2021-02-05,443.71208355328946
2021-02-06,434.05967874643113
2021-02-07,439.2711295049693
2021-02-08,473.86654872725774
2021-02-09,494.15225750400765
2021-02-10,516.6089126092334
2021-02-11,561.7643807312895
2021-02-12,598.2251609918408
2021-02-13,614.175486169745
2021-02-14,592.1128377119933
2021-02-15,584.3594353452484
2021-02-16,601.2130576386174
2021-02-17,604.6563120393589
2021-02-18,626.2963457665016
2021-02-19,634.4971414503938
2021-02-20,620.7174650727094
2021-02-21,636.1970704024641
2021-02-22,602.1368653970569
2021-02-23,524.7583564000013
2021-02-24,557.9124501485614
2021-02-25,535.2804796071589
2021-02-26,534.679604146716
2021-02-27,566.1894601644258
2021-02-28,545.5934567596595
2021-03-01,596.8423702744956
2021-03-02,591.2555374594365
2021-03-03,625.6964519764028
2021-03-04,619.0362467726528
2021-03-05,612.2151148745304
2021-03-06,621.1467853782336
2021-03-07,652.0454553306574
2021-03-08,695.5812665062365
2021-03-09,734.9723822954664
2021-03-10,711.8662969025154
2021-03-11,751.7363417412962
2021-03-12,804.5640024791143
2021-03-13,835.3705811198165
2021-03-14,844.1606648461027
2021-03-15,827.3745856180567
2021-03-16,817.8042215948791
2021-03-17,850.047808023172
2021-03-18,848.5489965899156
2021-03-19,860.362015949321
2021-03-20,832.8430708452836
2021-03-21,835.2637137565428
2021-03-22,812.4757334049368
2021-03-23,805.6966912429593
2021-03-24,760.9304635696901
2021-03-25,754.9883628328741
2021-03-26,826.4027321788545
2021-03-27,856.8356203915678
2021-03-28,888.7395600892505
2021-03-29,932.7967657789479
2021-03-30,938.4201011190869
2021-03-31,919.207067659132
2021-04-01,916.5010476268473
2021-04-02,934.4913848805572
2021-04-03,874.7956770195146
2021-04-04,933.3708644372739
2021-04-05,959.0961246264355
2021-04-06,940.9767162386439
2021-04-07,898.3477275780726
2021-04-08,954.3795633333937
2021-04-09,965.1891637212669
2021-04-10,954.9689065360668
